Date,ALVO,AMRQ,ARION,BRIM,EIM,FESTI,HAGA,HAMP,ICEAIR,ISB,KVIKA,MAREL,SJOVA,SKAGI,SVN,OMXI15
2023-01-02,1470.0,79.0,148.5,90.5,515.0,183.0,72.0,118.0,1.66,119.0,19.15,484.0,33.3,16.7,122.0,2482.49
2023-01-03,1490.0,80.0,149.0,90.0,520.0,184.0,71.5,118.0,1.7,119.0,19.2,499.0,33.4,17.0,123.0,2508.55
2023-01-04,1470.0,81.5,148.5,90.5,530.0,184.0,72.0,116.0,1.696,119.6,19.2,506.0,33.8,17.3,123.0,2522.08
2023-01-05,1480.0,82.0,148.0,90.5,530.0,183.0,71.0,118.56,1.73,118.8,19.2,510.0,33.6,17.1,122.0,2523.99
2023-01-06,1630.0,81.5,152.0,90.15,530.0,185.0,71.5,117.0,1.686,120.0,19.3,522.0,33.7,17.15,122.5,2557.44
2023-01-09,1785.0,81.5,151.0,90.5,535.0,185.0,72.25,120.0,1.69,118.6,19.6,532.0,33.6,17.1,124.0,2568.93
2023-01-10,1800.0,81.5,152.0,90.5,532.0,186.0,72.5,125.0,1.69,118.4,19.275,550.0,33.6,17.1,123.0,2591.89
2023-01-11,1760.0,83.0,152.5,92.5,545.0,184.0,72.5,123.0,1.722,119.0,19.4,574.0,33.8,17.3,124.5,2633.73
2023-01-12,1725.0,82.5,152.5,92.5,545.0,187.0,73.0,133.0,1.77,119.2,19.4,558.0,34.2,17.7,124.0,2619.44
2023-01-13,1795.0,82.0,153.0,93.0,535.0,181.0,70.75,133.0,1.75,119.0,19.4,558.0,34.2,17.5,124.0,2607.81
2023-01-16,1795.0,81.0,152.0,91.0,530.0,180.0,70.0,134.0,1.782,118.4,19.15,554.0,34.4,17.5,123.0,2594.9
2023-01-17,1765.0,81.0,150.5,90.5,520.0,180.0,71.0,134.0,1.8,118.0,19.025,564.0,34.0,17.4,121.0,2599.31
2023-01-18,1800.0,82.0,153.5,93.0,525.0,180.0,71.5,134.0,1.93,119.0,19.75,568.0,34.4,17.8,122.0,2638.84
2023-01-19,1735.0,80.5,150.5,93.0,555.0,182.0,69.5,135.0,1.86,119.2,19.3,560.0,34.2,17.5,123.0,2616.55
2023-01-20,1725.0,80.0,148.5,92.5,535.0,179.0,67.0,138.0,1.85,118.0,19.0,540.0,34.0,17.3,123.0,2565.02
2023-01-23,1725.0,79.5,147.0,92.5,540.0,179.0,67.25,139.0,1.9,117.6,19.0,543.0,34.0,17.3,123.5,2563.51
2023-01-24,1775.0,81.0,149.0,93.0,555.0,177.0,67.0,130.0,1.95,116.6,19.0,552.0,34.2,17.7,125.5,2593.49
2023-01-25,1770.0,80.0,147.5,93.0,560.0,178.0,67.0,127.0,2.025,117.0,18.9,556.0,34.1,18.0,126.25,2599.95
2023-01-26,1760.0,81.0,149.0,93.0,555.0,175.0,65.5,127.0,2.0,117.0,18.85,556.0,34.0,18.3,124.5,2597.78
2023-01-27,1760.0,81.5,152.5,93.5,555.0,178.0,66.5,129.0,1.99,117.0,19.2,552.0,34.0,18.8,124.5,2610.35
2023-01-30,1715.0,81.0,148.5,93.5,560.0,177.0,66.5,129.0,1.99,117.6,19.0,536.0,34.0,18.3,123.5,2576.06
2023-01-31,1725.0,80.0,150.0,93.5,560.0,176.0,65.0,129.0,1.982,117.6,18.8,534.0,34.1,18.4,124.0,2577.3
2023-02-01,1730.0,80.0,149.0,92.5,555.0,173.0,65.2,131.0,1.956,116.6,18.55,534.0,34.0,18.6,123.5,2559.48
2023-02-02,1720.0,81.0,150.5,93.0,570.0,171.0,65.0,131.0,2.07,117.0,18.6,550.0,34.4,18.6,124.5,2605.15
2023-02-03,1765.0,77.5,155.0,90.0,565.0,174.0,65.0,136.0,2.1,120.0,19.65,550.0,34.8,18.9,122.5,2645.47
2023-02-06,1800.0,78.5,156.0,89.5,570.0,175.0,64.5,132.0,2.135,120.6,19.6,550.0,34.8,18.8,121.0,2653.9
2023-02-07,1870.0,80.0,158.0,90.5,555.0,175.0,64.5,137.0,2.08,129.0,20.0,550.0,34.9,18.8,120.5,2683.41
2023-02-08,1865.0,79.5,158.5,90.0,547.5,172.0,64.0,135.0,2.12,128.2,20.6,542.0,34.55,18.75,120.0,2674.84
2023-02-09,1935.0,78.0,156.0,90.5,555.0,171.5,64.5,138.0,2.1,128.6,20.75,590.0,34.7,19.0,119.0,2738.64
2023-02-10,1940.0,79.5,154.0,91.0,555.0,171.0,64.5,139.0,2.07,128.4,20.7,600.0,35.4,19.4,117.0,2743.89
2023-02-13,1960.0,78.5,152.0,91.0,580.0,174.0,64.5,141.0,2.065,127.4,20.3,600.0,35.2,19.4,116.5,2737.0
2023-02-14,1925.0,77.5,151.0,90.0,580.0,174.0,64.5,144.0,2.0,126.2,19.9,584.0,35.2,19.3,117.0,2699.81
2023-02-15,1950.0,79.0,152.0,89.0,595.0,172.0,64.0,144.0,2.05,126.0,20.0,594.0,35.4,19.2,116.0,2725.3
2023-02-16,1950.0,79.0,151.0,89.5,590.0,174.0,63.5,147.0,1.994,126.5,19.8,592.0,35.2,19.3,115.0,2713.42
2023-02-17,1945.0,79.0,150.0,90.0,590.0,174.0,62.5,150.0,2.03,125.8,19.6,590.0,35.5,19.3,116.0,2704.94
2023-02-20,1920.0,78.5,152.0,88.0,590.0,177.0,64.0,147.0,2.05,127.8,20.0,588.0,35.8,19.9,116.0,2728.64
